Naam;Omschrijving;Kode;URL;EC;BoekVerplicht;Lesuren;Video;Slides;Allen;BDAM;FICT;SE;IAT;GI-BE;GI-AN;GI-AD;GI-ON;GI-RE;BP-BE;BP-AN;BP-AD;BP-ON;BP-RE;IS-BE;IS-AN;IS-AD;IS-ON;IS-RE;SW-BE;SW-AN;SW-AD;SW-ON;SW-RE;HI-BE;HI-AN;HI-AD;HI-ON;HI-RE;aantal1;aantal2;aantal3;level;S-GI-BE;S-GI-AN;S-GI-AD;S-GI-ON;S-GI-RE;S-BP-BE;S-BP-AN;S-BP-AD;S-BP-ON;S-BP-RE;S-IS-BE;S-IS-AN;S-IS-AD;S-IS-ON;S-IS-RE;S-SW-BE;S-SW-AN;S-SW-AD;S-SW-ON;S-SW-RE;S-HI-BE;S-HI-AN;S-HI-AD;S-HI-ON;S-HI-RE
ipodm;Praktische Opdracht Business DataManagement;tvuwl8m;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipodm-praktische-opdracht-business-datamanagement/SitePages/Home.aspx;2;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipofit;Praktische Opdracht Forensisch ICT;7z79fiw;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipofit-praktische-opdracht-forensisch-ict/SitePages/Home.aspx;2;;;;;V;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;2;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
ipohbo;Praktische Opdracht Professionele Vaardigheden;dupxe77;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipohbo-praktische-opdracht-professionele-vaardigheden/SitePages/Home.aspx;3;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipomedt;Praktische Opdracht Interactie-technologie;swwojeh;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipomedt-praktische-opdracht-interactie-technologie/SitePages/Home.aspx;2;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipose;Praktische Opdracht Software Engineering;m9hfckh;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipose-praktische-opdracht-software-engineering/SitePages/Home.aspx;2;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipro2;Programmeren van complexe vraagstukken;34pq97s;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipro2-programmeren-van-complexe-vraagstukken/SitePages/Home.aspx;3;;;MS;PPT;;;;V;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;2;1;0;2;;;;;;;;;;;;;;;;;1;;1;1;;;;;
iprodamo;Proces- en Data-modelleren;jwf24ri;https://hogeschoolleiden.sharepoint.com/sites/og1920.iprodamo-proces-en-data-modelleren/SitePages/Home.aspx;3;J;;YT;PDF;;V;;;;;;;2;;;;;2;;;;;;;;;;2;;;;;;;0;3;0;2;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;
iprop;ICT Project vaardigheden;ivwkc6g;https://hogeschoolleiden.sharepoint.com/sites/og1920.iprop-ict-projectvaardigheden/SitePages/Home.aspx;3;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iprwc;Programmeren in een webcontext;l2ryd65;https://hogeschoolleiden.sharepoint.com/sites/og1920.iprwc-programmeren-in-een-webcontext/SitePages/Home.aspx;3;;;MS;;;;;V;;;;;;;;;;;;;;;;;;;2;2;2;;;;;;0;3;0;2;;;;;;;;;;;;;;;;;;1;1;1;;;;;
ipsen2;Project Software Engineering 2;ddc125p;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipsen2-project-software-engineering-2/SitePages/Home.aspx;6;;;MS;;;;;V;;;;;;;;;;2;;;;;;;1;;;1;2;;;;;;2;2;0;2;;;;;;;;;1;;;;;;;;;;1;1;;;;;
